stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url
par_6_2508,2508,Santamarca,Calle de Torpedero Tucumán 33,40.4634348991239,-3.67045964812633,A,http://www.crtm.es
par_6_2509,2509,Torpedero Tucumán,Calle de Torpedero Tucumán 1,40.4609112402026,-3.67376079253987,A,http://www.crtm.es
par_6_2510,2510,Guatemala,Calle de Puerto Rico 52,40.4594751187459,-3.67439518197992,A,http://www.crtm.es
par_6_2511,2511,Colombia,Calle de Puerto Rico 33,40.4573661083548,-3.67455104732653,A,http://www.crtm.es
par_6_2512,2512,Uruguay,Calle de Puerto Rico 30,40.4551518120018,-3.67422229901955,A,http://www.crtm.es
par_6_2513,2513,Puerto Rico,Calle de Puerto Rico 1,40.4525002998046,-3.67471476028249,A,http://www.crtm.es
par_6_413,413,Parque de Berlín,Avda de Ramón y Cajal 1,40.4518106903875,-3.67710193651738,A,http://www.crtm.es
par_6_415,415,Plaza de Cataluña,Calle del Príncipe de Vergara 203,40.4492738574589,-3.67800853381629,A,http://www.crtm.es
par_6_2240,2240,Príncipe de Vergara-López de Hoyos,Calle del Príncipe de Vergara 123,40.4419981486755,-3.67893748506755,A,http://www.crtm.es
ar_6_2242,2242,Junta Municipal Chamartín,Calle del Príncipe de Vergara 139,40.4447837032792,-3.67863528088157,A,http://www.crtm.es
par_6_2244,2244,Auditorio Nacional,Calle del Príncipe de Vergara 183,40.4470285404426,-3.67836300457764,A,http://www.crtm.es
par_6_2228,2228,Príncipe de Vergara-Goya,Calle del Príncipe de Vergara 21,40.4255215647779,-3.68031641667791,A,http://www.crtm.es
par_6_2229,2229,Príncipe de Vergara-Ayala,Calle de Ayala 51,40.4279303647433,-3.67973939357469,A,http://www.crtm.es
par_6_2230,2230,Príncipe de Vergara-Ayala,Calle del Príncipe de Vergara 39,40.4279278729094,-3.6801637807917,A,http://www.crtm.es
par_6_2231,2231,Marqués de Salamanca,Calle del Príncipe de Vergara 50,40.4308954747426,-3.67954518894616,A,http://www.crtm.es
par_6_2232,2232,Marqués de Salamanca,Calle del Príncipe de Vergara 49,40.4309024072859,-3.67989895107453,A,http://www.crtm.es
par_6_2233,2233,Príncipe de Vergara-Diego de León,Calle del Príncipe de Vergara 72,40.4342755268656,-3.67926081493149,A,http://www.crtm.es
par_6_2234,2234,Príncipe de Vergara-Diego de León,Calle del Príncipe de Vergara 69,40.4340930742759,-3.67964806234875,A,http://www.crtm.es
par_6_161,161,Puerta de Alcalá,Plaza de la Independencia 3,40.4206852894155,-3.68919127035982,A,http://www.crtm.es
par_6_69,69,Cibeles-Banco de España,PLAZA DE CIBELES 1,40.4197945076749,-3.69353189605824,A,http://www.crtm.es
par_6_70,70,Cibeles,Plaza de Cibeles 3,40.4191558117028,-3.69337395070087,A,http://www.crtm.es
par_6_90,90,Círculo de Bellas Artes,Calle de Alcalá 44,40.418671117781,-3.69607829125748,A,http://www.crtm.es
par_6_162,162,Retiro,Avda de Méjico SN,40.4196998317684,-3.68826031065316,A,http://www.crtm.es
par_6_751,751,Escuelas Aguirre-Casa Árabe,Calle de Alcalá 66,40.4224644629508,-3.68083345910089,A,http://www.crtm.es
par_6_2225,2225,Príncipe de Vergara-Jorge Juan,Calle del Príncipe de Vergara 2,40.4233062345979,-3.68016446491758,A,http://www.crtm.es
par_6_2226,2226,Príncipe de Vergara-Jorge Juan,Calle de Jorge Juan 54,40.4236057625581,-3.67978471945146,A,http://www.crtm.es
par_6_2227,2227,Príncipe de Vergara-Goya,Calle del Príncipe de Vergara 20,40.425469313896,-3.6800093823735,A,http://www.crtm.es
par_6_2228,2228,Príncipe de Vergara-Goya,Calle del Príncipe de Vergara 21,40.4255215647779,-3.68031641667791,A,http://www.crtm.es
par_6_2229,2229,Príncipe de Vergara-Ayala,Calle de Ayala 51,40.4279303647433,-3.67973939357469,A,http://www.crtm.es
par_6_2230,2230,Príncipe de Vergara-Ayala,Calle del Príncipe de Vergara 39,40.4279278729094,-3.6801637807917,A,http://www.crtm.es
par_6_2231,2231,Marqués de Salamanca,Calle del Príncipe de Vergara 50,40.4308954747426,-3.67954518894616,A,http://www.crtm.es
par_6_2232,2232,Marqués de Salamanca,Calle del Príncipe de Vergara 49,40.4309024072859,-3.67989895107453,A,http://www.crtm.es
par_6_412,412,Parque de Berlín,Avda de Ramón y Cajal 1,40.4516049435458,-3.67685221440327,A,http://www.crtm.es
par_6_2233,2233,Príncipe de Vergara-Diego de León,Calle del Príncipe de Vergara 72,40.4342755268656,-3.67926081493149,A,http://www.crtm.es
par_6_5787,5787,Príncipe de Vergara-María de Molina,Calle del Príncipe de Vergara 96,40.4370335200681,-3.67905049325305,,http://www.crtm.es
par_6_2237,2237,Príncipe de Vergara-Canillas,Calle del Príncipe de Vergara 118,40.4405224168114,-3.67863967082135,A,http://www.crtm.es
par_6_2238,2238,Príncipe de Vergara-Francisco Silvela,Calle del Príncipe de Vergara 109,40.4398347306418,-3.67915158568442,A,http://www.crtm.es
par_6_2239,2239,Príncipe de Vergara-López de Hoyos,Calle del Príncipe de Vergara 126,40.4420368778991,-3.67847799791747,A,http://www.crtm.es
par_6_2240,2240,Príncipe de Vergara-López de Hoyos,Calle del Príncipe de Vergara 123,40.4419981486755,-3.67893748506755,A,http://www.crtm.es
par_6_2241,2241,Junta Municipal Chamartín,Calle del Príncipe de Vergara 140,40.444570194121,-3.67817324403593,A,http://www.crtm.es
par_6_2242,2242,Junta Municipal Chamartín,Calle del Príncipe de Vergara 139,40.4447837032792,-3.67863528088157,A,http://www.crtm.es
par_6_2243,2243,Auditorio Nacional,Calle del Príncipe de Vergara 148,40.4469590969221,-3.67791419053119,A,http://www.crtm.es
par_6_414,414,Plaza de Cataluña,Calle del Príncipe de Vergara 204,40.4496094509466,-3.6776223622325,A,http://www.crtm.es
par_6_2503,2503,Ramón y Cajal-Víctor de la Serna,Calle de Víctor de la Serna 2,40.4522350588341,-3.67385118815801,A,http://www.crtm.es
par_6_2504,2504,Víctor de la Serna,Calle de Víctor de la Serna 16,40.45376136358,-3.67164918315813,A,http://www.crtm.es
par_6_2505,2505,Víctor de la Serna-Colombia,Calle de Víctor de la Serna 52,40.4559920034749,-3.67149149395588,A,http://www.crtm.es
par_6_2506,2506,Costa Rica,Calle de Paraguay 2,40.4590228569887,-3.67160712629613,A,http://www.crtm.es
par_6_2507,2507,Santa María Magdalena,Calle de Santa María Magdalena 8,40.4612933428824,-3.67001377264877,A,http://www.crtm.es
par_6_2508,2508,Santamarca,Calle de Torpedero Tucumán 33,40.4634348991239,-3.67045964812633,A,http://www.crtm.es