agency_id,route_short_name,route_long_name,route_desc,route_uri,route_color,route_text_color
CRTM,1,CRISTO REY-PROSPERIDAD,,http://www.crtm.es/tu-transporte-publico/autobuses-emt/lineas/6__1___.aspx,0178BC,FFFFFF
CRTM,2,MANUEL BECERRA-REINA VICTORIA,,http://www.crtm.es/tu-transporte-publico/autobuses-emt/lineas/6__2_A__.aspx,0178BC,FFFFFF
CRTM,3,PUERTA TOLEDO-SAN AMARO,,http://www.crtm.es/tu-transporte-publico/autobuses-emt/lineas/6__3___.aspx,0178BC,FFFFFF
CRTM,4,CIUDAD LINEAL-PUERTA ARGANDA,,http://www.crtm.es/tu-transporte-publico/autobuses-emt/lineas/6__4___.aspx,0178BC,FFFFFF
CRTM,5,SOL/SEVILLA-CHAMARTIN,,http://www.crtm.es/tu-transporte-publico/autobuses-emt/lineas/6__5___.aspx,0178BC,FFFFFF
CRTM,6,BENAVENTE-ORCASITAS,,http://www.crtm.es/tu-transporte-publico/autobuses-emt/lineas/6__6___.aspx,0178BC,FFFFFF
CRTM,7,ALONSO MARTINEZ-MANOTERAS,,http://www.crtm.es/tu-transporte-publico/autobuses-emt/lineas/6__7___.aspx,0178BC,FFFFFF
CRTM,8,LEGAZPI-VALDEBERNARDO,,http://www.crtm.es/tu-transporte-publico/autobuses-emt/lineas/6__8___.aspx,0178BC,FFFFFF
CRTM,9,SEVILLA-HORTALEZA,,http://www.crtm.es/tu-transporte-publico/autobuses-emt/lineas/6__9___.aspx,0178BC,FFFFFF
CRTM,10,CIBELES-PALOMERAS,,http://www.crtm.es/tu-transporte-publico/autobuses-emt/lineas/6__10_A__.aspx,0178BC,FFFFFF
CRTM,11,MARQUES DE VIANA-BARRIO BLANCO,,http://www.crtm.es/tu-transporte-publico/autobuses-emt/lineas/6__11___.aspx,0178BC,FFFFFF
CRTM,12,CRISTO REY-MARQUES DE ZAFRA,,http://www.crtm.es/tu-transporte-publico/autobuses-emt/lineas/6__12___.aspx,0178BC,FFFFFF
CRTM,14,CONDE DE CASAL-PIO XII,,http://www.crtm.es/tu-transporte-publico/autobuses-emt/lineas/6__14___.aspx,0178BC,FFFFFF
CRTM,15,SOL/SEVILLA-LA ELIPA,,http://www.crtm.es/tu-transporte-publico/autobuses-emt/lineas/6__15___.aspx,0178BC,FFFFFF
CRTM,16,MONCLOA-PIO XII,,http://www.crtm.es/tu-transporte-publico/autobuses-emt/lineas/6__16___.aspx,0178BC,FFFFFF
CRTM,17,PLAZA MAYOR-PARQUE EUROPA,,http://www.crtm.es/tu-transporte-publico/autobuses-emt/lineas/6__17___.aspx,0178BC,FFFFFF
CRTM,18,PLAZA MAYOR-VILLAVERDE CRUCE,,http://www.crtm.es/tu-transporte-publico/autobuses-emt/lineas/6__18___.aspx,0178BC,FFFFFF
CRTM,19,PLAZA CATALUÑA-LEGAZPI,,http://www.crtm.es/tu-transporte-publico/autobuses-emt/lineas/6__19___.aspx,0178BC,FFFFFF
CRTM,20,SOL/SEVILLA-PAVONES,,http://www.crtm.es/tu-transporte-publico/autobuses-emt/lineas/6__20___.aspx,0178BC,FFFFFF
CRTM,21,PINTOR ROSALES-EL SALVADOR,,http://www.crtm.es/tu-transporte-publico/autobuses-emt/lineas/6__21___.aspx,0178BC,FFFFFF
CRTM,22,LEGAZPI-VILLAVERDE ALTO,,http://www.crtm.es/tu-transporte-publico/autobuses-emt/lineas/6__22___.aspx,0178BC,FFFFFF
CRTM,23,PLAZA MAYOR-VILLAVERDE CRUCE,,http://www.crtm.es/tu-transporte-publico/autobuses-emt/lineas/6__23_A__.aspx,0178BC,FFFFFF
CRTM,24,ATOCHA RENFE-EL POZO,,http://www.crtm.es/tu-transporte-publico/autobuses-emt/lineas/6__24___.aspx,0178BC,FFFFFF
CRTM,25,PLAZA ESPAÑA-CASA DE CAMPO,,http://www.crtm.es/tu-transporte-publico/autobuses-emt/lineas/6__25___.aspx,0178BC,FFFFFF
CRTM,26,TIRSO DE MOLINA-DIEGO DE LEON,,http://www.crtm.es/tu-transporte-publico/autobuses-emt/lineas/6__26___.aspx,0178BC,FFFFFF
CRTM,27,EMBAJADORES-PLAZA CASTILLA,,http://www.crtm.es/tu-transporte-publico/autobuses-emt/lineas/6__27___.aspx,0178BC,FFFFFF
CRTM,28,PUERTA ALCALA-Bº CANILLEJAS,,http://www.crtm.es/tu-transporte-publico/autobuses-emt/lineas/6__28_A__.aspx,0178BC,FFFFFF
CRTM,29,FELIPE II-MANOTERAS,,http://www.crtm.es/tu-transporte-publico/autobuses-emt/lineas/6__29___.aspx,0178BC,FFFFFF
CRTM,30,FELIPE II-PAVONES,,http://www.crtm.es/tu-transporte-publico/autobuses-emt/lineas/6__30___.aspx,0178BC,FFFFFF
CRTM,31,PLAZA MAYOR-ALUCHE,,http://www.crtm.es/tu-transporte-publico/autobuses-emt/lineas/6__31___.aspx,0178BC,FFFFFF
CRTM,32,BENAVENTE-PAVONES,,http://www.crtm.es/tu-transporte-publico/autobuses-emt/lineas/6__32___.aspx,0178BC,FFFFFF
CRTM,33,PRINCIPE PIO-CASA DE CAMPO,,http://www.crtm.es/tu-transporte-publico/autobuses-emt/lineas/6__33___.aspx,0178BC,FFFFFF
CRTM,34,CIBELES-LAS AGUILAS,,http://www.crtm.es/tu-transporte-publico/autobuses-emt/lineas/6__34___.aspx,0178BC,FFFFFF
CRTM,35,PLAZA MAYOR-CARABANCHEL ALTO,,http://www.crtm.es/tu-transporte-publico/autobuses-emt/lineas/6__35___.aspx,0178BC,FFFFFF
CRTM,36,ATOCHA-CAMPAMENTO,,http://www.crtm.es/tu-transporte-publico/autobuses-emt/lineas/6__36___.aspx,0178BC,FFFFFF
CRTM,37,CUATRO CAMINOS-PUENTE VALLECAS,,http://www.crtm.es/tu-transporte-publico/autobuses-emt/lineas/6__37___.aspx,0178BC,FFFFFF
CRTM,38,MANUEL BECERRA-LAS ROSAS,,http://www.crtm.es/tu-transporte-publico/autobuses-emt/lineas/6__38___.aspx,0178BC,FFFFFF
CRTM,39,PLAZA ESPAÑA-SAN IGNACIO,,http://www.crtm.es/tu-transporte-publico/autobuses-emt/lineas/6__39___.aspx,0178BC,FFFFFF
CRTM,40,TRIBUNAL-ALFONSO XIII,,http://www.crtm.es/tu-transporte-publico/autobuses-emt/lineas/6__40___.aspx,0178BC,FFFFFF
CRTM,41,ATOCHA-COLONIA MANZANARES,,http://www.crtm.es/tu-transporte-publico/autobuses-emt/lineas/6__41___.aspx,0178BC,FFFFFF
CRTM,42,PLAZA CASTILLA-Bº PEÑAGRANDE,,http://www.crtm.es/tu-transporte-publico/autobuses-emt/lineas/6__42___.aspx,0178BC,FFFFFF
CRTM,43,FELIPE II-ESTRECHO,,http://www.crtm.es/tu-transporte-publico/autobuses-emt/lineas/6__43___.aspx,0178BC,FFFFFF
CRTM,44,CALLAO-MARQUES DE VIANA,,http://www.crtm.es/tu-transporte-publico/autobuses-emt/lineas/6__44___.aspx,0178BC,FFFFFF
CRTM,45,LEGAZPI-REINA VICTORIA,,http://www.crtm.es/tu-transporte-publico/autobuses-emt/lineas/6__45___.aspx,0178BC,FFFFFF
CRTM,46,SEVILLA-MONCLOA,,http://www.crtm.es/tu-transporte-publico/autobuses-emt/lineas/6__46___.aspx,0178BC,FFFFFF
CRTM,47,ATOCHA-CARABANCHEL ALTO,,http://www.crtm.es/tu-transporte-publico/autobuses-emt/lineas/6__47_A__.aspx,0178BC,FFFFFF
CRTM,48,MANUEL BECERRA-Bº CANILLEJAS,,http://www.crtm.es/tu-transporte-publico/autobuses-emt/lineas/6__48___.aspx,0178BC,FFFFFF
CRTM,49,PLAZA CASTILLA-PITIS,,http://www.crtm.es/tu-transporte-publico/autobuses-emt/lineas/6__49___.aspx,0178BC,FFFFFF
CRTM,50,PLAZA MAYOR-AVENIDA MANZANARES,,http://www.crtm.es/tu-transporte-publico/autobuses-emt/lineas/6__50___.aspx,0178BC,FFFFFF
CRTM,51,SOL-PLAZA PERU,,http://www.crtm.es/tu-transporte-publico/autobuses-emt/lineas/6__51___.aspx,0178BC,FFFFFF
CRTM,52,SOL/SEVILLA-SANTAMARCA,,http://www.crtm.es/tu-transporte-publico/autobuses-emt/lineas/6__52___.aspx,0178BC,FFFFFF
CRTM,53,SOL/SEVILLA-ARTURO SORIA,,http://www.crtm.es/tu-transporte-publico/autobuses-emt/lineas/6__53___.aspx,0178BC,FFFFFF
CRTM,54,ATOCHA RENFE-CONGOSTO,,http://www.crtm.es/tu-transporte-publico/autobuses-emt/lineas/6__54___.aspx,0178BC,FFFFFF
CRTM,55,ATOCHA-BATAN,,http://www.crtm.es/tu-transporte-publico/autobuses-emt/lineas/6__55___.aspx,0178BC,FFFFFF
CRTM,56,DIEGO DE LEON-PUENTE VALLECAS,,http://www.crtm.es/tu-transporte-publico/autobuses-emt/lineas/6__56___.aspx,0178BC,FFFFFF
CRTM,57,ATOCHA RENFE-ALTO DEL ARENAL,,http://www.crtm.es/tu-transporte-publico/autobuses-emt/lineas/6__057___.aspx,0178BC,FFFFFF
CRTM,58,PUENTE VALLECAS-SANTA EUGENIA,,http://www.crtm.es/tu-transporte-publico/autobuses-emt/lineas/6__58_A__.aspx,0178BC,FFFFFF
CRTM,59,ATOCHA RENFE-SAN CRISTOBAL,,http://www.crtm.es/tu-transporte-publico/autobuses-emt/lineas/6__59___.aspx,0178BC,FFFFFF
CRTM,60,PLAZA CEBADA-ORCASITAS,,http://www.crtm.es/tu-transporte-publico/autobuses-emt/lineas/6__60___.aspx,0178BC,FFFFFF
CRTM,61,MONCLOA-NARVAEZ,,http://www.crtm.es/tu-transporte-publico/autobuses-emt/lineas/6__61___.aspx,0178BC,FFFFFF
CRTM,62,CRISTO REY-LOS PUERTOS,,http://www.crtm.es/tu-transporte-publico/autobuses-emt/lineas/6__62___.aspx,0178BC,FFFFFF
CRTM,63,FELIPE II-SANTA EUGENIA,,http://www.crtm.es/tu-transporte-publico/autobuses-emt/lineas/6__63___.aspx,0178BC,FFFFFF
CRTM,64,CUATRO CAMINOS-PITIS,,http://www.crtm.es/tu-transporte-publico/autobuses-emt/lineas/6__64___.aspx,0178BC,FFFFFF
CRTM,65,BENAVENTE-GRAN CAPITAN,,http://www.crtm.es/tu-transporte-publico/autobuses-emt/lineas/6__65___.aspx,0178BC,FFFFFF
CRTM,66,CUATRO CAMINOS-FUENCARRAL,,http://www.crtm.es/tu-transporte-publico/autobuses-emt/lineas/6__66___.aspx,0178BC,FFFFFF
CRTM,67,PLAZA CASTILLA-Bº PEÑAGRANDE,,http://www.crtm.es/tu-transporte-publico/autobuses-emt/lineas/6__67___.aspx,0178BC,FFFFFF
CRTM,70,PLAZA CASTILLA-ALSACIA,,http://www.crtm.es/tu-transporte-publico/autobuses-emt/lineas/6__70___.aspx,0178BC,FFFFFF
CRTM,71,MANUEL BECERRA-PUERTA ARGANDA,,http://www.crtm.es/tu-transporte-publico/autobuses-emt/lineas/6__71___.aspx,0178BC,FFFFFF
CRTM,72,DIEGO DE LEON-HORTALEZA,,http://www.crtm.es/tu-transporte-publico/autobuses-emt/lineas/6__72___.aspx,0178BC,FFFFFF
CRTM,73,DIEGO DE LEON-FERIA DE MADRID,,http://www.crtm.es/tu-transporte-publico/autobuses-emt/lineas/6__73___.aspx,0178BC,FFFFFF
CRTM,74,PINTOR ROSALES-PARQUE AVENIDAS,,http://www.crtm.es/tu-transporte-publico/autobuses-emt/lineas/6__74___.aspx,0178BC,FFFFFF
CRTM,75,CALLAO-COLONIA MANZANARES,,http://www.crtm.es/tu-transporte-publico/autobuses-emt/lineas/6__75___.aspx,0178BC,FFFFFF
CRTM,76,PLAZA BEATA-VILLAVERDE ALTO,,http://www.crtm.es/tu-transporte-publico/autobuses-emt/lineas/6__76___.aspx,0178BC,FFFFFF
CRTM,77,CIUDAD LINEAL-FIN DE SEMANA,,http://www.crtm.es/tu-transporte-publico/autobuses-emt/lineas/6__77___.aspx,0178BC,FFFFFF
CRTM,78,EMBAJADORES-SAN FERMIN,,http://www.crtm.es/tu-transporte-publico/autobuses-emt/lineas/6__78___.aspx,0178BC,FFFFFF
CRTM,79,LEGAZPI-VILLAVERDE ALTO,,http://www.crtm.es/tu-transporte-publico/autobuses-emt/lineas/6__79___.aspx,0178BC,FFFFFF
CRTM,81,OPORTO-HOSPITAL 12 OCTUBRE,,http://www.crtm.es/tu-transporte-publico/autobuses-emt/lineas/6__81___.aspx,0178BC,FFFFFF
CRTM,82,MONCLOA-PITIS,,http://www.crtm.es/tu-transporte-publico/autobuses-emt/lineas/6__82_A__.aspx,0178BC,FFFFFF
CRTM,83,MONCLOA-BARRIO DEL PILAR,,http://www.crtm.es/tu-transporte-publico/autobuses-emt/lineas/6__83___.aspx,0178BC,FFFFFF
CRTM,85,ATOCHA RENFE-BUTARQUE,,http://www.crtm.es/tu-transporte-publico/autobuses-emt/lineas/6__85___.aspx,0178BC,FFFFFF
CRTM,86,ATOCHA RENFE-VILLAVERDE ALTO,,http://www.crtm.es/tu-transporte-publico/autobuses-emt/lineas/6__86___.aspx,0178BC,FFFFFF
CRTM,87,REP.DOMINICANA-LAS CARCAVAS,,http://www.crtm.es/tu-transporte-publico/autobuses-emt/lineas/6__87___.aspx,0178BC,FFFFFF
CRTM,100,MORATALAZ-VALDERRIVAS,,http://www.crtm.es/tu-transporte-publico/autobuses-emt/lineas/6__100___.aspx,0178BC,FFFFFF
CRTM,101,CANILLEJAS-BARAJAS,,http://www.crtm.es/tu-transporte-publico/autobuses-emt/lineas/6__101___.aspx,0178BC,FFFFFF
CRTM,102,ATOCHA RENFE-ESTACION EL POZO,,http://www.crtm.es/tu-transporte-publico/autobuses-emt/lineas/6__102___.aspx,0178BC,FFFFFF
CRTM,103,ESTACION EL POZO-ECOBULEVAR,,http://www.crtm.es/tu-transporte-publico/autobuses-emt/lineas/6__103___.aspx,0178BC,FFFFFF
CRTM,104,CIUDAD LINEAL-MAR DE CRISTAL,,http://www.crtm.es/tu-transporte-publico/autobuses-emt/lineas/6__104___.aspx,0178BC,FFFFFF
CRTM,105,CIUDAD LINEAL-BARAJAS,,http://www.crtm.es/tu-transporte-publico/autobuses-emt/lineas/6__105___.aspx,0178BC,FFFFFF
CRTM,106,MANUEL BECERRA-VICALVARO,,http://www.crtm.es/tu-transporte-publico/autobuses-emt/lineas/6__106___.aspx,0178BC,FFFFFF
CRTM,107,PLAZA CASTILLA-HORTALEZA,,http://www.crtm.es/tu-transporte-publico/autobuses-emt/lineas/6__107___.aspx,0178BC,FFFFFF
CRTM,108,OPORTO-CEMENTERIO CARABANCHEL,,http://www.crtm.es/tu-transporte-publico/autobuses-emt/lineas/6__108___.aspx,0178BC,FFFFFF
CRTM,109,CIUDAD LINEAL-CASTILLO UCLES,,http://www.crtm.es/tu-transporte-publico/autobuses-emt/lineas/6__109___.aspx,0178BC,FFFFFF
CRTM,110,MANUEL BECERRA-CMTº ALMUDENA,,http://www.crtm.es/tu-transporte-publico/autobuses-emt/lineas/6__110_A__.aspx,0178BC,FFFFFF
CRTM,111,PUENTE VALLECAS-ENTREVIAS,,http://www.crtm.es/tu-transporte-publico/autobuses-emt/lineas/6__111___.aspx,0178BC,FFFFFF
CRTM,112,MAR CRISTAL-BARRIO AEROPUERTO,,http://www.crtm.es/tu-transporte-publico/autobuses-emt/lineas/6__112___.aspx,0178BC,FFFFFF
CRTM,113,MENDEZ ALVARO-CIUDAD LINEAL,,http://www.crtm.es/tu-transporte-publico/autobuses-emt/lineas/6__113___.aspx,0178BC,FFFFFF
CRTM,114,AVENIDA AMERICA-Bº AEROPUERTO,,http://www.crtm.es/tu-transporte-publico/autobuses-emt/lineas/6__114___.aspx,0178BC,FFFFFF
CRTM,115,AVENIDA AMERICA-BARAJAS,,http://www.crtm.es/tu-transporte-publico/autobuses-emt/lineas/6__115___.aspx,0178BC,FFFFFF
CRTM,116,EMBAJADORES-VILLAVERDE CRUCE,,http://www.crtm.es/tu-transporte-publico/autobuses-emt/lineas/6__116___.aspx,0178BC,FFFFFF
CRTM,118,EMBAJADORES-LA PESETA,,http://www.crtm.es/tu-transporte-publico/autobuses-emt/lineas/6__118___.aspx,0178BC,FFFFFF
CRTM,119,ATOCHA-BARRIO GOYA,,http://www.crtm.es/tu-transporte-publico/autobuses-emt/lineas/6__119___.aspx,0178BC,FFFFFF
CRTM,120,PLAZA LIMA-HORTALEZA,,http://www.crtm.es/tu-transporte-publico/autobuses-emt/lineas/6__120___.aspx,0178BC,FFFFFF
CRTM,121,CAMPAMENTO-HOSPITAL 12 OCTUBRE,,http://www.crtm.es/tu-transporte-publico/autobuses-emt/lineas/6__121___.aspx,0178BC,FFFFFF
CRTM,122,AVENIDA AMERICA-FERIA MADRID,,http://www.crtm.es/tu-transporte-publico/autobuses-emt/lineas/6__122___.aspx,0178BC,FFFFFF
CRTM,123,LEGAZPI-BUTARQUE,,http://www.crtm.es/tu-transporte-publico/autobuses-emt/lineas/6__123___.aspx,0178BC,FFFFFF
CRTM,124,CUATRO CAMINOS-LACOMA,,http://www.crtm.es/tu-transporte-publico/autobuses-emt/lineas/6__124___.aspx,0178BC,FFFFFF
CRTM,125,MAR CRISTAL-H.RAMON Y CAJAL,,http://www.crtm.es/tu-transporte-publico/autobuses-emt/lineas/6__125___.aspx,0178BC,FFFFFF
CRTM,126,N.MINISTERIOS-BARRIO DEL PILAR,,http://www.crtm.es/tu-transporte-publico/autobuses-emt/lineas/6__126___.aspx,0178BC,FFFFFF
